Date,Open,High,Low,Close,Volume
2018-06-12,147.1000,147.5200,146.6200,146.8700,2640515
2018-06-13,146.7900,147.4700,146.2000,146.3500,2968180
2018-06-14,146.6500,146.9800,145.0900,145.2000,3326343
2018-06-15,144.9000,145.4700,143.7000,145.3900,9116048
2018-06-18,144.1800,144.5200,143.1400,144.4800,4286406
2018-06-19,143.1200,144.2200,142.9500,143.9000,3487015
2018-06-20,144.2200,144.5200,142.4100,142.6300,3329917
2018-06-21,142.5900,143.1400,140.8300,141.2500,3887650
2018-06-22,141.6400,141.8100,140.7800,141.2800,6013678
2018-06-25,140.4000,140.4000,138.2800,138.7900,8937085
2018-06-26,139.3600,139.8500,138.3300,139.0800,4139455
2018-06-27,139.1100,139.7800,137.4500,137.4800,4097588
2018-06-28,138.1000,140.5400,137.9500,140.0400,4523666
2018-06-29,140.3200,141.3600,139.6100,139.7000,3753684
2018-07-02,138.2800,140.2200,138.2000,139.8600,3405642
2018-07-03,140.6500,140.9400,139.3700,139.5700,1963232
2018-07-05,140.4800,141.4300,139.9300,141.4300,3744730
2018-07-06,141.5300,142.9400,141.1700,142.4800,2910426
2018-07-09,142.5900,144.7200,142.4700,144.3900,3904652
2018-07-10,144.5100,145.5900,144.2600,144.7100,3776991
2018-07-11,144.0000,146.1900,144.0000,144.9400,3526565
2018-07-12,145.8500,146.8300,145.7400,146.4500,3119505
2018-07-13,146.4500,146.9800,145.8000,145.9000,3067638
2018-07-16,145.6700,145.7900,144.2100,145.4600,3468817
2018-07-17,144.7500,145.0000,143.3400,143.4900,5096741
2018-07-18,143.5100,144.8000,142.7400,144.5200,6935288
2018-07-19,147.8500,150.5400,147.2500,149.2400,14655804
2018-07-20,148.5800,148.8600,146.2600,146.3500,6415972
2018-07-23,146.3500,146.7000,145.0100,145.7000,3897892
2018-07-24,146.7000,147.0400,145.9200,146.3800,3891625
2018-07-25,146.0100,146.6500,145.5000,146.6200,3623182
2018-07-26,147.4300,149.2700,146.6300,146.7100,4778022
2018-07-27,146.8900,147.1400,144.6600,145.1500,3749642
2018-07-30,144.8000,146.2400,144.6900,145.4900,3608283
2018-07-31,145.7400,145.8000,144.1600,144.9300,5474478
2018-08-01,144.7600,145.1900,143.3400,143.5000,3388386
2018-08-02,142.8600,143.3600,142.3300,142.9600,3841447
2018-08-03,143.2400,147.9200,143.0000,147.7000,8053567
2018-08-06,146.9500,147.2000,145.5700,146.0300,3913743
2018-08-07,146.6500,147.6400,146.3500,147.0100,3508758
2018-08-08,147.3300,147.4300,146.2400,146.8900,3581746
2018-08-09,145.5300,145.9400,144.7300,144.7700,3093504
2018-08-10,144.5000,145.0700,143.8800,144.4800,3003158
2018-08-13,144.1500,144.3000,142.5300,142.7100,2858842
2018-08-14,143.0000,143.8200,142.9300,143.3600,2860041
2018-08-15,142.5500,144.0000,142.0000,143.9100,4241496
2018-08-16,144.3700,145.6800,144.3700,145.3400,5250878
2018-08-17,144.7900,146.3900,144.6900,146.0600,2678820
2018-08-20,146.3700,147.1600,146.1500,146.5100,2499654
2018-08-21,147.0000,147.1200,145.8900,145.9700,3106876
2018-08-22,146.0100,146.1600,145.1900,145.2400,2388961
2018-08-23,145.0400,145.5200,144.7500,145.3700,2220603
2018-08-24,145.4600,146.0900,144.8700,146.0400,2776813
2018-08-27,146.9400,147.6200,146.5200,146.6900,3491565
2018-08-28,146.9500,146.9900,146.1900,146.5900,2455328
2018-08-29,146.8700,147.9300,146.6000,147.5400,3153845
2018-08-30,147.0300,147.3000,145.2500,145.9300,3340369
2018-08-31,145.7200,146.7800,145.5400,146.4800,3488476
2018-09-04,145.9800,146.1900,144.8100,145.6800,3326153
2018-09-05,145.1900,146.7500,145.0500,146.6600,3126540
2018-09-06,146.8800,147.6600,145.5400,146.3900,4248831
2018-09-07,145.9400,146.5000,145.1200,145.4500,4693127
2018-09-10,146.6000,147.3000,145.5600,145.6500,3618209
2018-09-11,146.0000,146.9900,145.2500,146.4900,3374774
2018-09-12,146.3700,147.9800,146.0300,146.5700,4506679
2018-09-13,147.3500,149.0000,147.1200,148.9500,5346540
2018-09-14,148.8500,149.3000,147.7800,148.3300,3452144
2018-09-17,148.4400,149.0700,147.7700,147.9400,3551882
2018-09-18,147.7600,148.9900,147.4700,148.5600,3629596
2018-09-19,148.6300,149.9600,148.2300,149.0600,4246382
2018-09-20,149.5800,151.3800,149.4400,151.1500,5952223
2018-09-21,151.4800,152.6000,150.7400,151.3500,19947878
2018-09-24,151.1000,151.2000,149.4600,150.0300,4264984
2018-09-25,149.9100,150.4100,148.3600,148.9100,4397457
2018-09-26,152.4000,153.3500,151.3400,151.6100,7401862
2018-09-27,152.0100,152.3900,151.1600,151.5000,3477643
2018-09-28,151.1600,151.6300,150.7900,151.2100,3305798
2018-10-01,151.7100,153.4200,151.7100,153.0000,3757419
2018-10-02,152.9900,153.8400,152.5000,153.7500,3030125
2018-10-03,154.0000,154.3600,152.8000,153.2200,3315298
2018-10-04,151.6900,152.8000,150.3600,151.3100,4238143
2018-10-05,150.9000,151.7900,147.8700,149.0300,4602252
2018-10-08,148.5000,149.0700,147.1800,148.3900,3239347
2018-10-09,148.0800,148.3600,146.9300,147.2400,3642496
2018-10-10,147.5000,147.6900,142.5000,142.6900,5547697
2018-10-11,142.6200,144.1900,138.7800,139.0200,8710491
2018-10-12,141.1200,141.5400,139.0800,140.8500,6563403
2018-10-15,140.3800,142.2600,140.1400,141.1300,4965533
2018-10-16,142.9300,145.4500,141.5800,145.1200,8695489
2018-10-17,135.8900,137.1500,133.4200,134.0500,19464000
2018-10-18,132.7300,133.4000,130.0400,130.5500,10011678
2018-10-19,130.6500,131.8900,127.9600,129.1000,7791636
2018-10-22,129.5800,130.4400,128.4000,130.0200,5719518
2018-10-23,129.0200,131.9000,128.4100,131.2100,6463580
2018-10-24,131.1700,131.6900,127.0000,127.2100,5710320
2018-10-25,127.2500,127.7900,125.1400,126.4500,10304327
2018-10-26,125.2100,125.7800,123.7100,124.7900,8767029
2018-10-29,119.3400,123.9500,118.3000,119.6400,20450448
2018-10-30,120.4800,121.5000,115.1500,115.4000,21458594
2018-10-31,116.4900,116.5000,114.0900,115.4300,21644978
2018-11-01,115.5000,117.0000,115.1100,116.8300,13626730
2018-11-02,117.5100,117.7500,114.5400,115.6700,10592681
2018-11-05,116.1000,120.7700,116.0000,120.0600,9144598
2018-11-06,120.7000,123.8100,120.3100,123.1200,9597392
2018-11-07,123.7900,125.0600,122.3300,124.8400,12382666
2018-11-08,122.6600,124.4000,122.6300,123.3800,10396439
2018-11-09,123.6100,124.5700,121.9600,123.5400,6961902
2018-11-12,123.5000,123.5700,120.6500,120.9000,5379113
2018-11-13,121.1900,122.2500,119.9000,120.8400,4084385
2018-11-14,121.1100,121.9300,119.7700,120.2000,4762275
2018-11-15,119.6600,121.4400,119.5100,121.4400,5207973
2018-11-16,120.8900,121.8500,120.5400,121.5700,4076315
2018-11-19,121.6300,122.1800,119.7700,120.3100,4131238
2018-11-20,118.4900,119.4900,116.7000,117.2000,6233777
2018-11-21,117.6100,119.5100,117.3900,118.5700,5335842
2018-11-23,118.0900,118.3382,116.9100,117.1900,2334730
2018-11-26,118.3700,120.2500,118.0600,119.5600,5011130
2018-11-27,118.3800,120.0400,118.3700,120.0300,4903771
2018-11-28,121.0100,123.0900,120.2200,123.0000,5104520
2018-11-29,122.4400,123.1200,121.4000,121.4800,5200113
2018-11-30,121.6600,124.6900,121.4800,124.2700,7251590
2018-12-03,125.6700,126.5900,124.3600,125.3100,5843112
2018-12-04,124.4900,124.9200,121.3300,121.6000,6000697
2018-12-06,119.7200,123.9100,119.3010,123.9100,6938049
2018-12-07,123.9000,124.0500,118.8700,119.3400,7019616
2018-12-10,119.7400,121.6800,118.5200,121.1300,6549506
2018-12-11,123.2500,123.8100,120.0000,120.8900,5043081
2018-12-12,122.5100,122.8800,121.0000,121.1600,3560790
2018-12-13,121.2600,121.7900,120.1700,120.7300,3993597
2018-12-14,119.5000,121.1100,119.4400,119.9000,4554204
2018-12-17,119.0700,119.7800,115.0700,116.1000,7374476
2018-12-18,116.9000,118.2300,116.0200,116.6500,6290186
2018-12-19,117.1500,120.2700,115.9700,116.4300,6979823
2018-12-20,115.7000,116.4500,111.7000,113.0200,8454350
2018-12-21,112.5000,115.2800,110.4400,110.9400,10386453
2018-12-24,109.9000,111.0000,107.5000,107.5700,3821376
2018-12-26,108.0000,111.3900,105.9400,111.3900,6645794
2018-12-27,109.9900,113.7800,109.4700,113.7800,6045590
2018-12-28,114.2200,114.8000,112.5000,113.0300,5117533
2018-12-31,113.3300,114.3500,112.4201,113.6700,4982755
2019-01-02,112.0100,115.9800,111.6900,115.2100,4239924
2019-01-03,114.5300,114.8800,112.6900,112.9100,4346659
2019-01-04,114.9100,117.4900,114.4400,117.3200,4477755
2019-01-07,117.5000,118.8300,116.6700,118.1500,3751204
2019-01-08,119.6600,120.5700,118.9800,119.8300,4763636
2019-01-09,120.9100,121.4000,119.8700,120.6900,3633663
2019-01-10,120.0800,121.8600,119.9500,121.7900,3909971
2019-01-11,121.5800,121.6200,120.2000,121.4600,3722370
2019-01-14,120.5100,120.6500,119.7600,120.3900,5228909
2019-01-15,120.9600,121.9300,120.8200,121.7300,3507719
2019-01-16,121.5800,122.0000,120.8300,121.6200,3841100
2019-01-17,120.5600,122.4100,120.5500,122.1900,5029871
2019-01-18,123.2700,124.7200,122.7100,123.8200,6008509
2019-01-22,123.3000,123.8000,121.5400,122.5200,10052384
2019-01-23,131.3700,135.0000,130.3100,132.8900,22063666
2019-01-24,132.6300,133.2100,131.4300,132.5300,6322928
2019-01-25,132.8700,134.4400,132.4300,133.9700,5708500
2019-01-28,133.1000,134.8100,132.5800,134.2700,5357736
2019-01-29,134.2900,135.4100,133.6000,134.3300,5037129
2019-01-30,134.0000,135.0300,133.2500,134.3800,4500919
2019-01-31,134.4500,134.7200,133.7400,134.4200,4884031
2019-02-01,134.9700,135.2000,133.3500,134.1000,3806047
2019-02-04,134.0200,135.2000,132.9900,135.1900,3966597
2019-02-05,135.2800,135.8200,134.9200,135.5500,5398907
2019-02-06,135.2200,136.6500,135.1700,136.3200,4879670
2019-02-07,133.5500,134.4700,132.1200,133.1900,4379439
2019-02-08,132.3400,133.7100,132.1900,133.7100,3250074
2019-02-11,134.2900,135.1500,133.9100,133.9900,3095069
2019-02-12,135.1500,136.2000,134.8600,136.0500,3317161
2019-02-13,136.9200,137.9200,136.4100,137.5200,4253042
2019-02-14,137.1700,137.6000,136.2100,136.4800,2789839
2019-02-15,137.5800,138.1900,137.3900,138.0300,3844062
2019-02-19,137.8100,138.7000,137.3600,138.7000,3385675
2019-02-20,138.7600,139.2400,137.2200,138.0000,3801979
2019-02-21,137.8200,138.3500,137.3500,137.8400,2937467
2019-02-22,138.7300,139.3800,138.4300,139.2500,3113698
2019-02-25,140.0000,140.4700,139.3200,139.4600,3194161
2019-02-26,139.6700,140.4900,139.4700,139.7200,3060381
2019-02-27,139.2500,139.5700,138.4000,139.1700,2530968
2019-02-28,138.7700,139.0600,137.7200,138.1300,3457788
2019-03-01,139.3100,140.0400,138.6400,139.2000,3030044
2019-03-04,139.9900,140.0800,137.1700,138.4300,3407217
2019-03-05,138.3700,138.7400,137.5600,137.8800,4250650
2019-03-06,138.1200,138.3900,136.7200,136.9800,2768256
2019-03-07,136.6100,136.8900,134.6300,135.3600,4358802
2019-03-08,134.2100,135.2400,133.5800,135.0900,3773722
2019-03-11,136.0300,137.7300,135.8400,137.7100,3939517
2019-03-12,138.5200,139.7000,137.8600,138.2800,3954653
2019-03-13,138.0500,139.3200,137.8500,138.5600,3173179
2019-03-14,138.5100,138.9400,138.0600,138.7900,2738790
2019-03-15,139.3700,140.3300,139.2300,139.4300,7153687
2019-03-18,139.8300,140.3700,138.7200,140.2100,3268510
2019-03-19,140.9600,141.7000,140.0000,140.4900,3482336
2019-03-20,140.5300,140.7000,138.9800,139.6000,3649455
2019-03-21,139.1000,142.1200,138.8800,141.4400,3605420
2019-03-22,140.9700,141.4400,138.9000,139.4500,3877616
2019-03-25,139.0600,139.9100,138.3500,139.1800,2839766
2019-03-26,139.9300,141.0200,139.4200,140.2200,2553708
2019-03-27,140.4100,140.4900,138.4000,139.2400,3098233
2019-03-28,139.9100,140.4400,139.1000,139.9200,2663884
2019-03-29,140.5000,141.2200,140.1500,141.1000,3101454
2019-04-01,141.5100,143.4100,141.5100,143.3000,3984250
2019-04-02,143.3500,143.9500,142.6000,143.0000,2404920
2019-04-03,143.6500,144.2200,143.0100,143.6300,2681645
2019-04-04,143.6200,144.1400,142.5400,142.7800,2771462
2019-04-05,143.2900,143.5000,142.4600,143.2800,2731985
2019-04-08,143.0200,143.4200,142.8700,143.3900,2118228
2019-04-09,142.6600,142.9500,141.8400,142.1100,3038460
2019-04-10,142.2000,143.5000,141.9800,143.0200,2678310
2019-04-11,143.8000,144.1100,143.0300,143.7800,2941985
2019-04-12,144.2600,144.4400,143.7000,144.3500,2898899
2019-04-15,144.4000,144.4600,143.2700,143.9000,3603158
2019-04-16,144.4000,145.3900,144.0200,145.1400,6301671
2019-04-17,137.3700,141.9800,136.2600,139.1100,12525693
2019-04-18,139.0000,140.4900,138.7000,140.3300,4960015
2019-04-22,139.4200,140.5600,138.4800,138.8900,4494333
2019-04-23,139.1500,140.9200,138.9400,140.4400,4462240
2019-04-24,140.6000,141.3100,139.7800,139.9500,2774867
2019-04-25,139.7000,139.7500,137.7100,138.6300,2910113
2019-04-26,139.3400,139.8900,138.8100,139.4400,2319834
2019-04-29,139.1500,139.6300,138.8100,139.0500,2958333
2019-04-30,139.1100,140.4400,138.6800,140.2700,4638828
2019-05-01,140.5500,141.8100,140.1700,140.5600,3053683
2019-05-02,140.5000,141.2800,139.4100,139.5900,3541352
2019-05-03,139.7000,141.0000,139.6300,140.2500,2580034
2019-05-06,138.3000,140.6900,137.9000,140.3800,2793655
2019-05-07,139.1500,139.5100,136.1900,137.6400,4726771
2019-05-08,137.7700,138.7000,137.1300,138.0000,3818909
2019-05-09,134.8900,135.5800,133.0300,135.3400,4192942
2019-05-10,134.8800,135.7500,132.4200,135.3200,3977686
2019-05-13,133.2800,133.5700,130.9600,131.4200,4958021
2019-05-14,131.8200,134.3200,131.6800,133.3100,3280374
2019-05-15,132.5900,134.5900,132.3700,134.4000,2551009
2019-05-16,134.7400,136.1100,134.6400,135.8800,3017472
2019-05-17,134.6800,135.4100,133.9400,134.3200,2619135
2019-05-20,133.5300,135.4300,132.9300,135.1200,3264649
2019-05-21,136.1200,137.0600,135.7900,136.4500,2503504
2019-05-22,136.0000,136.7500,135.7100,136.3500,1849821
2019-05-23,135.1300,135.1300,130.4400,132.3900,5343437
2019-05-24,133.5300,134.2500,131.5900,132.2800,2596121
2019-05-28,132.1300,132.6400,130.2700,130.4600,4909121
2019-05-29,130.0000,130.2800,128.3200,129.6900,3678978
2019-05-30,129.7400,129.9700,128.9300,129.5700,2741880
2019-05-31,128.4400,128.4400,126.8500,126.9900,3539343
2019-06-03,127.1000,128.5600,127.0600,128.2700,4267080
2019-06-04,129.5600,132.7400,129.0900,132.6900,3913535
2019-06-05,133.3800,133.6100,130.4700,131.4900,3161584
2019-06-06,132.1900,132.6500,130.9000,132.2200,2298248
2019-06-07,132.4700,134.7200,132.2100,133.3100,2553398
2019-06-10,134.3800,135.3500,133.9100,134.7400,2911327
2019-06-11,135.3200,136.4600,135.0500,135.9500,3407345
2019-06-12,135.5600,135.9400,134.4100,134.8700,2254741
2019-06-13,135.1300,136.2700,135.0900,135.7600,2955419
2019-06-14,135.4400,135.8800,134.4300,135.1500,2193367
2019-06-17,135.3900,136.0300,134.7000,134.9500,2194129
2019-06-18,135.2000,137.1900,135.2000,136.3800,2914698
2019-06-19,136.4300,138.3600,136.2400,137.0800,2382520
2019-06-20,138.9300,139.5400,138.2000,138.8500,3071017
2019-06-21,138.4400,139.5400,138.3900,139.2000,5288759
2019-06-24,139.2000,140.1500,139.0500,139.3500,2186137
2019-06-25,139.4600,139.5500,138.1300,138.3600,2801251
